City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
126,creel,27.75,-107.6333,26.61,16,3,5.34,MX,1694280835
127,beau vallon,-20.4189,57.6953,23.13,73,40,2.57,MU,1694280835
128,dashitou,43.3067,128.5114,15.92,97,100,0.54,CN,1694280835
129,aquidaba,-10.2814,-37.0186,26.26,59,37,5.54,BR,1694280835
130,ola,59.5833,151.2833,2.86,83,93,6.26,RU,1694280836
131,chakulia,22.4833,86.7167,26.21,94,81,2.55,IN,1694280837
132,taoudenni,22.6783,-3.9836,43.35,13,26,2.43,ML,1694280837
133,kita,13.0349,-9.4895,27.35,82,31,1.4,ML,1694280837
134,mahavelona,-17.6848,49.5087,22.99,82,41,2.76,MG,1694280837
135,tanout,14.9709,8.8879,37.38,24,100,2.37,NE,1694280838
136,antsiranana,-12.2787,49.2917,23.34,73,60,7.88,MG,1694280838
137,enewetak,11.3474,162.3373,28.59,74,35,4.14,MH,1694280838
138,saint-philippe,-21.3585,55.7679,22.77,80,71,2.81,RE,1694280838
139,arraial do cabo,-22.9661,-42.0278,29.98,51,0,7.2,BR,1694280839
140,talnakh,69.4865,88.3972,5.67,95,100,1.43,RU,1694280839
141,cockburn town,21.4612,-71.1419,30.98,62,40,5.14,TC,1694280839
142,makariv,50.4641,29.8113,14.08,48,18,3.33,UA,1694280839
143,dzuunmod,48.2199,97.3744,3.06,81,46,0.6,MN,1694280839
144,greymouth,-42.4667,171.2,10.44,85,84,3.22,NZ,1694280840
145,thompson,55.7435,-97.8558,12.09,87,75,2.57,CA,1694280840
146,ad dawadimi,24.5077,44.3924,33.64,11,43,5.05,SA,1694280840
147,boali,4.8005,18.1275,24.3,85,9,1.69,CF,1694280840
148,kilju,40.9642,129.3278,18.65,95,81,1.08,KP,1694280841
149,port-cartier,50.0334,-66.8654,13.12,94,100,2.02,CA,1694280841
150,saldanha,-33.0117,17.9442,14.03,81,71,10.34,ZA,1694280841
151,kenora,49.8167,-94.4337,19.54,48,75,3.6,CA,1694280841
152,pacific grove,36.6177,-121.9166,19.12,89,40,5.81,US,1694280704
153,nova xavantina,-14.6667,-52.35,38.09,20,8,2.27,BR,1694280842
154,simanggang,1.2472,111.4528,24.58,90,100,0.43,MY,1694280842
155,balabac,7.9868,117.0645,26.9,80,35,0.74,PH,1694280842
156,mirnyy,62.5353,113.9611,4.02,69,100,0.89,RU,1694280843
157,jamestown,42.097,-79.2353,19.77,100,100,2.06,US,1694280843
158,oban,56.4127,-5.4706,17.43,96,100,1.82,GB,1694280843
159,arteche,12.2645,125.4048,25.28,85,100,1.36,PH,1694280843
160,qandala,11.472,49.8728,32.54,61,57,3.86,SO,1694280844
161,burang,30.25,81.1667,6.22,100,100,0.35,CN,1694280844
162,east london,-33.0153,27.9116,16.52,88,0,1.54,ZA,1694280844
163,pierre,44.3683,-100.351,20.15,76,75,4.63,US,1694280560
164,vorgashor,67.5833,63.95,9.47,82,97,3.69,RU,1694280844
165,meadow lakes,61.6247,-149.6011,9.85,97,100,2.57,US,1694280845
166,baiti,13.745,-14.7482,25.94,87,93,2.89,SN,1694280845
167,nogliki,51.8333,143.1667,7.95,83,2,3.53,RU,1694280845
168,mahibadhoo,3.7833,72.9667,27.89,76,89,3.35,MV,1694280845
169,howard springs,-12.497,131.047,25.95,89,73,1.57,AU,1694280846
170,thinadhoo,0.5333,72.9333,28.29,77,45,5.66,MV,1694280846
171,colonia,50.9333,6.95,29.34,52,0,1.54,DE,1694280757
172,homer,59.6425,-151.5483,9.94,88,100,1.54,US,1694280846
173,palikir - national government center,6.9248,158.1611,25.41,94,75,1.03,FM,1694280846
174,klyuchi,52.2667,79.1667,14.47,56,45,4.66,RU,1694280847
175,madimba,-10.4,40.3333,23.62,78,20,5.14,TZ,1694280847
176,penafiel,41.2084,-8.2829,21.84,71,65,0.45,PT,1694280847
177,mejit,10.2753,170.8646,28.65,74,32,4.68,MH,1694280847
178,pionerskiy,54.9508,20.2275,18.91,81,100,4.37,RU,1694280847
179,khairpur,27.5295,68.7617,32.0,16,3,3.06,PK,1694280848
180,thunder bay,48.4001,-89.3168,16.99,77,75,2.06,CA,1694280724
181,puerto armuelles,8.2833,-82.8667,31.99,73,58,1.34,PA,1694280848
182,nadym,65.5333,72.5167,9.69,88,93,2.15,RU,1694280848
183,gidole,5.65,37.3667,15.53,69,90,2.04,ET,1694280848
184,herrin,37.8031,-89.0276,24.44,67,40,4.12,US,1694280828
185,albany,42.6001,-73.9662,25.88,75,92,1.22,US,1694280320
186,arvayheer,46.2639,102.775,9.52,73,33,3.91,MN,1694280849
187,barreiro do jaiba,-15.6167,-43.6,32.77,17,0,2.28,BR,1694280849
188,alofi,-19.0595,-169.9187,20.94,100,32,6.69,NU,1694280849
189,howrah,22.5892,88.3103,29.0,89,20,2.06,IN,1694280850
190,kimberley,-28.7323,24.7623,23.83,17,0,3.6,ZA,1694280611
191,remire-montjoly,4.9167,-52.2667,29.02,74,75,4.12,GF,1694280850
192,kapa'a,22.0752,-159.319,23.94,90,75,3.09,US,1694280850
193,bouar,5.934,15.596,20.11,94,27,0.92,CF,1694280850
194,island harbour,50.724,-1.2758,28.42,70,79,1.45,GB,1694280851
195,shagonar,51.5333,92.8,9.73,68,25,0.26,RU,1694280851
196,bilibino,68.0546,166.4372,1.52,94,100,1.93,RU,1694280851
197,axim,4.8699,-2.2405,25.24,81,96,2.05,GH,1694280851
198,berdigestyakh,62.0989,126.6992,1.45,96,100,3.4,RU,1694280851
199,afif,23.9065,42.9172,31.55,12,84,5.0,SA,1694280852
200,nantucket,41.2835,-70.0995,27.27,88,0,4.63,US,1694280854
201,kem',64.9555,34.5793,14.51,86,37,3.73,RU,1694280854
202,keflavik,64.0049,-22.5624,10.95,76,75,6.17,IS,1694280854
203,swakopmund,-22.6833,14.5333,13.88,84,88,1.34,NA,1694280855
204,maumere,-8.6199,122.2111,24.01,82,76,1.55,ID,1694280855
205,hilo,19.7297,-155.09,26.45,81,20,1.54,US,1694280855
206,tabou,4.423,-7.3528,25.9,80,91,2.54,CI,1694280855
207,villaquilambre,42.6469,-5.5584,22.43,62,40,3.09,ES,1694280855
208,punta arenas,-53.15,-70.9167,6.06,81,0,5.14,CL,1694280856
209,kavalerovo,44.2661,135.0572,16.74,98,100,0.81,RU,1694280858
210,prince george,53.9166,-122.753,13.47,70,0,1.03,CA,1694280569
211,touros,-5.1989,-35.4608,25.74,81,0,11.11,BR,1694280858
212,san antonio de pale,-1.4014,5.6325,24.07,81,44,3.42,GQ,1694280858
213,petropavlovsk-kamchatsky,53.0452,158.6483,9.33,62,0,8.0,RU,1694280859
214,praia da vitoria,38.7333,-27.0667,24.14,64,20,2.52,PT,1694280859
215,porto novo,6.4965,2.6036,25.17,84,66,3.99,BJ,1694280859
216,vorkuta,67.5,64.0,8.78,86,91,3.43,RU,1694280859
217,mount pearl,47.5166,-52.7813,18.31,89,100,2.06,CA,1694280859
218,gunjur,13.2019,-16.7339,31.04,79,40,4.12,GM,1694280860
219,plettenberg bay,-34.0527,23.3716,13.81,91,21,1.81,ZA,1694280860
220,sao gabriel da cachoeira,-0.1303,-67.0892,33.89,52,40,2.06,BR,1694280561
221,mizdah,31.4451,12.9801,24.74,54,15,6.32,LY,1694280861
222,san luis de la loma,17.2706,-100.8939,29.9,71,100,2.1,MX,1694280861
223,katsuura,35.1333,140.3,25.44,93,30,3.61,JP,1694280861
224,hammerfest,70.6634,23.6821,14.25,94,100,2.06,NO,1694280861
225,brookings,44.3114,-96.7984,23.92,63,40,4.12,US,1694280641
226,whakatane,-37.9585,176.9854,9.87,97,61,2.68,NZ,1694280862
227,san mariano,7.5,126.0,22.61,95,73,1.09,PH,1694280862
228,shetpe,44.1667,52.1167,18.26,34,100,1.67,KZ,1694280862
229,daru,-9.0763,143.2092,25.17,84,100,8.34,PG,1694280862
230,sadovoye,47.7764,44.5089,14.52,46,99,4.68,RU,1694280862
231,hailun,47.45,126.9333,11.25,60,0,3.28,CN,1694280863
232,sikonge,-5.6333,32.7667,27.33,33,98,3.11,TZ,1694280863
233,extrema,-22.8547,-46.3183,28.63,31,18,4.38,BR,1694280863
234,northam,51.0333,-4.2167,24.25,88,100,1.15,GB,1694280863
235,pacocha,-17.5833,-71.3333,20.08,78,40,4.12,PE,1694280863
236,ust-nera,64.5667,143.2,2.55,98,100,2.45,RU,1694280864
237,malango,-2.9627,119.9001,17.75,96,41,0.9,ID,1694280864
238,nemuro,43.3236,145.575,17.63,98,100,9.89,JP,1694280864
239,vuktyl,63.8567,57.3094,10.3,62,2,2.47,RU,1694280865
240,coquimbo,-29.9533,-71.3436,17.85,67,0,2.06,CL,1694280806
241,sao joao da barra,-21.6403,-41.0511,29.05,74,2,8.83,BR,1694280865
242,nouadhibou,20.931,-17.0347,27.99,61,5,8.75,MR,1694280865
243,flying fish cove,-10.4217,105.6791,22.82,88,40,3.09,CX,1694280866
244,nako,31.8814,78.627,11.74,76,26,2.0,IN,1694280866
245,gualeguay,-33.1416,-59.3097,20.33,40,100,4.3,AR,1694280866
246,luderitz,-26.6481,15.1594,13.74,85,83,4.33,NA,1694280866
247,lorengau,-2.0226,147.2712,26.84,82,86,3.65,PG,1694280866
248,tyup,42.7276,78.3648,13.33,65,83,2.24,KG,1694280867
249,sarmiento,-45.5882,-69.07,9.68,61,100,7.65,AR,1694280867
250,inarajan village,13.2736,144.7484,26.54,96,100,8.17,GU,1694280867
251,tolanaro,-25.0319,46.9987,23.04,83,0,9.26,MG,1694280867
252,fomboni,-12.28,43.7425,25.79,72,2,2.57,KM,1694280868
